[2026-02-16T18:15:09.688Z] AUTH FAILED: No token or Bearer header
[2026-02-16T18:29:34.724Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:29:34.726Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:37:16.117Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/69936197e9c73c0eae887cb3
[2026-02-16T18:37:16.184Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:37:16.185Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:37:20.166Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/69936197e9c73c0eae887cb4
[2026-02-16T18:37:20.187Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:37:20.188Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:37:22.215Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/69936197e9c73c0eae887cb5
[2026-02-16T18:37:22.230Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:37:22.231Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:37:24.727Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/69936197e9c73c0eae887cb6
[2026-02-16T18:37:24.743Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:37:24.744Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:37:28.431Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/69936197e9c73c0eae887cb2
[2026-02-16T18:37:28.450Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:37:28.451Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:37:44.803Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-16T18:37:44.809Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:37:44.811Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:37:44.813Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-16T18:37:44.817Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:37:44.837Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:42:43.849Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:42:43.868Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:42:43.880Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:42:43.881Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:42:51.200Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-16T18:42:51.204Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:42:51.209Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:42:51.218Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-16T18:42:51.221Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:42:51.224Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:32:01.806Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:32:02.053Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:33:23.805Z] AUTH SUCCESS: Role: admin | Path: /api/expenses/summary?salonId=698e18ecd9924bc0f55ddf63
